date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-25,USA,Turkey,False,0.3141,0.2749,0.4111,0.3077,0.3138,0.3785,0.3715,0.2751,0.3535,31,0.3663,0.2624,0.3713,12961,-0.0638,0.0387,0.025,0.0638,0.1275,0.1172,0.0357,disagree_on_favorite,,False
2026-06-25,Paraguay,Australia,True,0.2641,0.2676,0.4682,0.2577,0.3066,0.4357,0.435,0.2933,0.2717,31,0.4439,0.2976,0.2585,1853,-0.1773,0.0133,0.164,0.1773,0.3546,0.3724,0.0264,disagree_on_favorite,,True
2026-06-25,Curaçao,Ivory Coast,True,0.125,0.209,0.666,0.1186,0.2479,0.6335,0.0744,0.1577,0.7679,31,0.0743,0.1485,0.7772,6380,0.0442,0.0902,-0.1344,0.1344,0.2688,0.2874,0.0186,model_under_concentrated,,False
2026-06-25,Ecuador,Germany,True,0.3381,0.2765,0.3855,0.3317,0.3154,0.3529,0.1988,0.2517,0.5495,32,0.201,0.2451,0.5539,16267,0.1329,0.0637,-0.1966,0.1966,0.3932,0.402,0.0132,model_under_concentrated,,True
2026-06-25,Japan,Sweden,True,0.6954,0.1963,0.1083,0.689,0.2352,0.0758,0.4556,0.2784,0.266,31,0.4657,0.2696,0.2647,5152,0.2334,-0.0432,-0.1902,0.2334,0.4668,0.4466,0.0202,model_over_concentrated,,True
2026-06-25,Tunisia,Netherlands,True,0.0903,0.1804,0.7293,0.084,0.2193,0.6967,0.1471,0.2237,0.6292,31,0.1317,0.2195,0.6488,10027,-0.0631,-0.0044,0.0675,0.0675,0.135,0.0958,0.0392,model_over_concentrated,,False
2026-06-26,Egypt,Iran,True,0.2246,0.2576,0.5178,0.2182,0.2965,0.4853,0.4227,0.3102,0.2671,31,0.4307,0.302,0.2673,5097,-0.2045,-0.0137,0.2182,0.2182,0.4364,0.436,0.0164,disagree_on_favorite,,True
2026-06-26,New Zealand,Belgium,True,0.1171,0.2032,0.6797,0.1107,0.2421,0.6472,0.0964,0.1716,0.7319,31,0.0846,0.1542,0.7612,9110,0.0143,0.0705,-0.0847,0.0847,0.1695,0.228,0.0585,model_under_concentrated,,False
2026-06-26,Cape Verde,Saudi Arabia,True,0.2904,0.2721,0.4375,0.284,0.3111,0.4049,0.3651,0.2882,0.3466,31,0.3713,0.2772,0.3515,3360,-0.0811,0.0229,0.0583,0.0811,0.1623,0.1746,0.0221,disagree_on_favorite,,False
2026-06-26,Uruguay,Spain,True,0.0855,0.1756,0.7389,0.0791,0.2146,0.7064,0.1782,0.2444,0.5773,31,0.1707,0.239,0.5902,7264,-0.0991,-0.0298,0.1291,0.1291,0.258,0.2322,0.0258,model_over_concentrated,,False
2026-06-26,Norway,France,True,0.1793,0.2404,0.5803,0.1729,0.2793,0.5478,0.2203,0.2626,0.517,31,0.2139,0.2537,0.5323,14346,-0.0474,0.0167,0.0308,0.0474,0.0949,0.0821,0.0306,model_over_concentrated,,False
2026-06-26,Senegal,Iraq,True,0.6107,0.2302,0.159,0.6043,0.2692,0.1265,0.6624,0.214,0.1236,31,0.6814,0.2059,0.1127,5714,-0.0581,0.0552,0.0029,0.0581,0.1162,0.1542,0.038,model_under_concentrated,,False
2026-06-27,Algeria,Austria,True,0.3753,0.2768,0.3479,0.3689,0.3157,0.3154,0.2678,0.2948,0.4374,31,0.2611,0.3005,0.4384,9404,0.1011,0.0209,-0.122,0.122,0.244,0.246,0.0134,disagree_on_favorite,,False
2026-06-27,Jordan,Argentina,True,0.0451,0.1255,0.8293,0.0387,0.1645,0.7968,0.0705,0.1461,0.7833,31,0.0657,0.1236,0.8107,11284,-0.0318,0.0184,0.0135,0.0318,0.0637,0.0818,0.0547,model_over_concentrated,,False
2026-06-27,Colombia,Portugal,True,0.3497,0.2768,0.3734,0.3433,0.3158,0.3409,0.2697,0.286,0.4443,32,0.2683,0.278,0.4537,10270,0.0736,0.0298,-0.1034,0.1034,0.2068,0.2256,0.0188,disagree_on_favorite,,False
2026-06-27,DR Congo,Uzbekistan,True,0.2384,0.2616,0.5,0.232,0.3005,0.4675,0.4052,0.2921,0.3028,32,0.4049,0.278,0.3171,2668,-0.1732,0.0084,0.1647,0.1732,0.3463,0.3458,0.0287,disagree_on_favorite,,True
2026-06-27,Panama,England,True,0.1293,0.2121,0.6586,0.1229,0.251,0.626,0.1013,0.1677,0.731,31,0.0945,0.1542,0.7512,28503,0.0216,0.0833,-0.105,0.105,0.2099,0.2504,0.0405,model_under_concentrated,,False
2026-06-27,Croatia,Ghana,True,0.796,0.1451,0.0588,0.7896,0.1841,0.0263,0.5707,0.2529,0.1764,31,0.5902,0.2488,0.161,3118,0.2189,-0.0688,-0.1501,0.2189,0.4378,0.3988,0.039,model_over_concentrated,,True
