date,home_team,away_team,neutral,elo_h_pre,elo_a_pre,eff_diff,home_score,away_score,goal_diff,total_goals
2018-03-27,Germany,Brazil,False,2104.2245286266257,2116.9739831717616,47.250545454864096,0,1,-1,1
2018-03-27,Greece,Egypt,True,1653.946901571797,1647.574099024237,6.372802547560013,1,0,1,1
2018-03-27,Hungary,Scotland,False,1596.440569729116,1707.9960129349292,-51.55544320581316,0,1,-1,1
2018-03-27,Iraq,Syria,False,1572.1909537375554,1607.1514568831142,25.039496854441268,1,1,0,2
2018-03-27,Jordan,Vietnam,False,1482.0751283642878,1500.0,42.07512836428782,1,1,0,2
2018-03-27,North Korea,Hong Kong,False,1450.0,1500.0,10.0,2,0,2,2
2018-03-27,Kosovo,Burkina Faso,True,1510.0,1613.6789843853312,-103.6789843853312,2,0,2,2
2018-03-27,Kyrgyzstan,India,False,1528.125,1500.0,88.125,2,1,1,3
2018-03-27,Laos,Bangladesh,False,1488.2900264265638,1500.0,48.29002642656383,2,2,0,4
2018-03-27,Lebanon,Malaysia,False,1456.0,1498.2900264265638,17.709973573436173,2,1,1,3
2018-03-27,Luxembourg,Austria,False,1511.7099735734362,1722.1537357691761,-150.44376219573996,0,4,-4,4
2018-03-27,Maldives,Bhutan,False,1491.7099735734362,1500.0,51.70997357343617,7,0,7,7
2018-03-27,Mexico,Croatia,True,1869.7139525350415,1842.077477808353,27.636474726688448,0,1,-1,1
2018-03-27,Moldova,Ivory Coast,True,1485.3609661288542,1598.1721977608877,-112.81123163203347,1,2,-1,3
2018-03-27,Mongolia,Mauritius,False,1501.7099735734362,1511.7099735734362,50.0,0,2,-2,2
2018-03-27,Montenegro,Turkey,False,1610.5143959269094,1719.882180777663,-49.36778485075365,2,2,0,4
2018-03-27,Morocco,Uzbekistan,False,1700.6681540014233,1614.701192179867,145.96696182155642,2,0,2,2
2018-03-27,Namibia,Lesotho,False,1500.0,1491.7099735734362,68.29002642656383,2,1,1,3
2018-03-27,Oman,Palestine,False,1536.3773366729095,1498.903137966188,97.47419870672138,1,0,1,1
2018-03-27,Peru,Iceland,True,1894.922522191647,1809.2208209876112,85.70170120403577,3,1,2,4
2018-03-27,Philippines,Tajikistan,False,1508.2900264265638,1500.0,68.29002642656383,2,1,1,3
