date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-11,Dominican Republic,British Virgin Islands,4,0,FIFA World Cup qualification,0.8218970468896452,0.13004333561903847,0.04805961749131618,0
2024-06-11,Puerto Rico,Anguilla,8,0,FIFA World Cup qualification,0.9061877281473971,0.07481671835575017,0.01899555349685285,0
2024-06-11,Qatar,India,2,1,FIFA World Cup qualification,0.8640851613586561,0.10362003115318602,0.032294807488157704,0
2024-06-11,Saudi Arabia,Jordan,1,2,FIFA World Cup qualification,0.3642323986319838,0.27697260380445476,0.3587949975635615,2
2024-06-11,Kuwait,Afghanistan,1,0,FIFA World Cup qualification,0.570768646114358,0.2433254288911514,0.1859059249944906,0
2024-06-11,Lithuania,Estonia,1,1,Baltic Cup,0.3766573174155775,0.27677749038009264,0.3465651922043298,1
2024-06-11,Madagascar,Mali,0,0,FIFA World Cup qualification,0.09913449605215141,0.18848108469193106,0.7123844192559174,1
2024-06-11,Latvia,Faroe Islands,1,0,Baltic Cup,0.4997352834747737,0.26165624860911174,0.23860846791611445,0
2024-06-11,Brunei,Sri Lanka,1,0,Friendly,0.46687756111407946,0.26787659603957636,0.26524584284634406,0
2024-06-11,Andorra,Northern Ireland,0,2,Friendly,0.08924452738206987,0.17932911066712093,0.7314263619508092,2
2024-06-11,Azerbaijan,Kazakhstan,3,2,Friendly,0.41542838285166955,0.2745033583627096,0.3100682587856208,0
2024-06-11,Chad,Comoros,0,2,FIFA World Cup qualification,0.2725177888387552,0.26926451229822407,0.45821769886302083,2
2024-06-11,Greece,Malta,2,0,Friendly,0.8647308103390231,0.10319739936229452,0.032071790298682595,0
2024-06-11,Israel,Belarus,4,0,Friendly,0.5575783143922268,0.24721442826018453,0.19520725734758881,0
2024-06-11,Moldova,Ukraine,0,4,Friendly,0.05505110700185746,0.14005328262775363,0.8048956103703887,2
2024-06-11,Mongolia,Cambodia,2,1,Friendly,0.3987891711274904,0.27577984391287924,0.3254309849596305,0
